"value"	"Analysis_type"	"Comparison"
"6218"	"Adck1"	"tiling200"	"i_vs_rest"
"6219"	"Nrxn3"	"tiling200"	"i_vs_rest"
"6220"	"Dio2"	"tiling200"	"i_vs_rest"
"6221"	"Cep128"	"tiling200"	"i_vs_rest"
"6222"	"Tshr"	"tiling200"	"i_vs_rest"
"6223"	"Ston2"	"tiling200"	"i_vs_rest"
"6224"	"Sel1l"	"tiling200"	"i_vs_rest"
"6225"	"4930559C10Rik"	"tiling200"	"i_vs_rest"
"6226"	"Flrt2"	"tiling200"	"i_vs_rest"
"6227"	"1700019M22Rik"	"tiling200"	"i_vs_rest"
"6228"	"Galc"	"tiling200"	"i_vs_rest"
"6229"	"Kcnk10"	"tiling200"	"i_vs_rest"
"6230"	"Spata7"	"tiling200"	"i_vs_rest"
"6231"	"4930474N09Rik"	"tiling200"	"i_vs_rest"
"6232"	"Foxn3"	"tiling200"	"i_vs_rest"
"6233"	"Gm26839"	"tiling200"	"i_vs_rest"
"6234"	"1700064M15Rik"	"tiling200"	"i_vs_rest"
"6235"	"Efcab11"	"tiling200"	"i_vs_rest"
"6236"	"Gpr68"	"tiling200"	"i_vs_rest"
"6237"	"Ccdc88c"	"tiling200"	"i_vs_rest"
"6238"	"Catsperb"	"tiling200"	"i_vs_rest"
"6239"	"Tc2n"	"tiling200"	"i_vs_rest"
"6240"	"Atxn3"	"tiling200"	"i_vs_rest"
"6241"	"Slc24a4"	"tiling200"	"i_vs_rest"
"6242"	"Golga5"	"tiling200"	"i_vs_rest"
"6243"	"Chga"	"tiling200"	"i_vs_rest"
"6244"	"Itpk1"	"tiling200"	"i_vs_rest"
"6245"	"Unc79"	"tiling200"	"i_vs_rest"
"6246"	"Otub2"	"tiling200"	"i_vs_rest"
"6247"	"Ppp4r4"	"tiling200"	"i_vs_rest"
"6248"	"Serpina16"	"tiling200"	"i_vs_rest"
"6249"	"Serpina1b"	"tiling200"	"i_vs_rest"
"6250"	"Serpina1a"	"tiling200"	"i_vs_rest"
"6251"	"Serpina3m"	"tiling200"	"i_vs_rest"
"6252"	"Gsc"	"tiling200"	"i_vs_rest"
"6253"	"Dicer1"	"tiling200"	"i_vs_rest"
"6254"	"Clmn"	"tiling200"	"i_vs_rest"
"6255"	"Syne3"	"tiling200"	"i_vs_rest"
"6256"	"Glrx5"	"tiling200"	"i_vs_rest"
"6257"	"Tunar"	"tiling200"	"i_vs_rest"
"6258"	"Gm2721"	"tiling200"	"i_vs_rest"
"6259"	"D430019H16Rik"	"tiling200"	"i_vs_rest"
"6260"	"Bdkrb2"	"tiling200"	"i_vs_rest"
"6261"	"Atg2b"	"tiling200"	"i_vs_rest"
"6262"	"Papola"	"tiling200"	"i_vs_rest"
"6263"	"Vrk1"	"tiling200"	"i_vs_rest"
"6264"	"1700121N20Rik"	"tiling200"	"i_vs_rest"
"6265"	"4933406K04Rik"	"tiling200"	"i_vs_rest"
"6266"	"4930465M20Rik"	"tiling200"	"i_vs_rest"
"6267"	"Bcl11b"	"tiling200"	"i_vs_rest"
"6268"	"Setd3"	"tiling200"	"i_vs_rest"
"6269"	"Ccdc85c"	"tiling200"	"i_vs_rest"
"6270"	"Hhipl1"	"tiling200"	"i_vs_rest"
"6271"	"Eml1"	"tiling200"	"i_vs_rest"
"6272"	"Gm16596"	"tiling200"	"i_vs_rest"
"6273"	"Evl"	"tiling200"	"i_vs_rest"
"6274"	"Slc25a29"	"tiling200"	"i_vs_rest"
"6275"	"Wdr25"	"tiling200"	"i_vs_rest"
"6276"	"Begain"	"tiling200"	"i_vs_rest"
"6277"	"Rian"	"tiling200"	"i_vs_rest"
"6278"	"Mirg"	"tiling200"	"i_vs_rest"
"6279"	"3110009F21Rik"	"tiling200"	"i_vs_rest"
"6280"	"Ppp2r5c"	"tiling200"	"i_vs_rest"
"6281"	"Hsp90aa1"	"tiling200"	"i_vs_rest"
"6282"	"Wdr20"	"tiling200"	"i_vs_rest"
"6283"	"Mok"	"tiling200"	"i_vs_rest"
"6284"	"Cinp"	"tiling200"	"i_vs_rest"
"6285"	"Ankrd9"	"tiling200"	"i_vs_rest"
"6286"	"6030440G07Rik"	"tiling200"	"i_vs_rest"
"6287"	"Traf3"	"tiling200"	"i_vs_rest"
"6288"	"Cdc42bpb"	"tiling200"	"i_vs_rest"
"6289"	"Tnfaip2"	"tiling200"	"i_vs_rest"
"6290"	"Gm266"	"tiling200"	"i_vs_rest"
"6291"	"Mark3"	"tiling200"	"i_vs_rest"
"6292"	"Trmt61a"	"tiling200"	"i_vs_rest"
"6293"	"Apopt1"	"tiling200"	"i_vs_rest"
"6294"	"Klc1"	"tiling200"	"i_vs_rest"
"6295"	"Tdrd9"	"tiling200"	"i_vs_rest"
"6296"	"Aspg"	"tiling200"	"i_vs_rest"
"6297"	"Kif26a"	"tiling200"	"i_vs_rest"
"6298"	"A730018C14Rik"	"tiling200"	"i_vs_rest"
"6299"	"Tmem179"	"tiling200"	"i_vs_rest"
"6300"	"Inf2"	"tiling200"	"i_vs_rest"
"6301"	"Adssl1"	"tiling200"	"i_vs_rest"
"6302"	"Akt1"	"tiling200"	"i_vs_rest"
"6303"	"Clba1"	"tiling200"	"i_vs_rest"
"6304"	"Nudt14"	"tiling200"	"i_vs_rest"
"6305"	"Mta1"	"tiling200"	"i_vs_rest"
"6306"	"Tmem121"	"tiling200"	"i_vs_rest"
"6307"	"Adam6a"	"tiling200"	"i_vs_rest"
"6308"	"Mir7094-1"	"tiling200"	"i_vs_rest"
"6309"	"Mir7094-2"	"tiling200"	"i_vs_rest"
"6310"	"Wdr60"	"tiling200"	"i_vs_rest"
"6311"	"Gm5441"	"tiling200"	"i_vs_rest"
"6312"	"Speer6-ps1"	"tiling200"	"i_vs_rest"
"6313"	"Asb13"	"tiling200"	"i_vs_rest"
"6314"	"Calm5"	"tiling200"	"i_vs_rest"
"6315"	"Akr1e1"	"tiling200"	"i_vs_rest"
"6316"	"1700016G22Rik"	"tiling200"	"i_vs_rest"
"6317"	"Pitrm1"	"tiling200"	"i_vs_rest"
"6318"	"Adarb2"	"tiling200"	"i_vs_rest"
"6319"	"Larp4b"	"tiling200"	"i_vs_rest"
"6320"	"Chrm3"	"tiling200"	"i_vs_rest"
"6321"	"Ryr2"	"tiling200"	"i_vs_rest"
"6322"	"Actn2"	"tiling200"	"i_vs_rest"
"6323"	"Heatr1"	"tiling200"	"i_vs_rest"
"6324"	"Edaradd"	"tiling200"	"i_vs_rest"
"6325"	"Gpr137b-ps"	"tiling200"	"i_vs_rest"
"6326"	"Prl2c3"	"tiling200"	"i_vs_rest"
"6327"	"Prl2c2"	"tiling200"	"i_vs_rest"
"6328"	"Gpr137b"	"tiling200"	"i_vs_rest"
"6329"	"Hecw1"	"tiling200"	"i_vs_rest"
"6330"	"AW209491"	"tiling200"	"i_vs_rest"
"6331"	"Gli3"	"tiling200"	"i_vs_rest"
"6332"	"4933412O06Rik"	"tiling200"	"i_vs_rest"
"6333"	"B230303A05Rik"	"tiling200"	"i_vs_rest"
"6334"	"Inhba"	"tiling200"	"i_vs_rest"
"6335"	"Sugct"	"tiling200"	"i_vs_rest"
"6336"	"Rala"	"tiling200"	"i_vs_rest"
"6337"	"9330199G10Rik"	"tiling200"	"i_vs_rest"
"6338"	"Elmo1"	"tiling200"	"i_vs_rest"
"6339"	"Gpx5"	"tiling200"	"i_vs_rest"
"6340"	"Zscan12"	"tiling200"	"i_vs_rest"
"6341"	"Pom121l2"	"tiling200"	"i_vs_rest"
"6342"	"Vmn1r213"	"tiling200"	"i_vs_rest"
"6343"	"4930557F10Rik"	"tiling200"	"i_vs_rest"
"6344"	"C230035I16Rik"	"tiling200"	"i_vs_rest"
"6345"	"Hist1h2be"	"tiling200"	"i_vs_rest"
"6346"	"Hist1h2bc"	"tiling200"	"i_vs_rest"
"6347"	"Hist1h3c"	"tiling200"	"i_vs_rest"
"6348"	"Slc17a2"	"tiling200"	"i_vs_rest"
"6349"	"Carmil1"	"tiling200"	"i_vs_rest"
"6350"	"Cmah"	"tiling200"	"i_vs_rest"
"6351"	"Ripor2"	"tiling200"	"i_vs_rest"
"6352"	"Gpld1"	"tiling200"	"i_vs_rest"
"6353"	"Nrsn1"	"tiling200"	"i_vs_rest"
"6354"	"2610307P16Rik"	"tiling200"	"i_vs_rest"
"6355"	"Cdkal1"	"tiling200"	"i_vs_rest"
"6356"	"Agtr1a"	"tiling200"	"i_vs_rest"
"6357"	"Dusp22"	"tiling200"	"i_vs_rest"
"6358"	"Exoc2"	"tiling200"	"i_vs_rest"
"6359"	"4930401O12Rik"	"tiling200"	"i_vs_rest"
"6360"	"1700018A04Rik"	"tiling200"	"i_vs_rest"
"6361"	"Foxf2"	"tiling200"	"i_vs_rest"
"6362"	"Mylk4"	"tiling200"	"i_vs_rest"
"6363"	"Serpinb9e"	"tiling200"	"i_vs_rest"
"6364"	"Serpinb9f"	"tiling200"	"i_vs_rest"
"6365"	"Gm6093"	"tiling200"	"i_vs_rest"
"6366"	"Slc22a23"	"tiling200"	"i_vs_rest"
"6367"	"Gm15908"	"tiling200"	"i_vs_rest"
"6368"	"Prpf4b"	"tiling200"	"i_vs_rest"
"6369"	"Eci2"	"tiling200"	"i_vs_rest"
"6370"	"Cdyl"	"tiling200"	"i_vs_rest"
"6371"	"Lyrm4"	"tiling200"	"i_vs_rest"
"6372"	"Fars2"	"tiling200"	"i_vs_rest"
"6373"	"Nrn1"	"tiling200"	"i_vs_rest"
"6374"	"F13a1"	"tiling200"	"i_vs_rest"
"6375"	"Ly86"	"tiling200"	"i_vs_rest"
"6376"	"Rreb1"	"tiling200"	"i_vs_rest"
"6377"	"Bmp6"	"tiling200"	"i_vs_rest"
"6378"	"Slc35b3"	"tiling200"	"i_vs_rest"
"6379"	"5033403F01Rik"	"tiling200"	"i_vs_rest"
"6380"	"Ofcc1"	"tiling200"	"i_vs_rest"
"6381"	"Tfap2a"	"tiling200"	"i_vs_rest"
"6382"	"Gcnt2"	"tiling200"	"i_vs_rest"
"6383"	"Tmem14c"	"tiling200"	"i_vs_rest"
"6384"	"Mak"	"tiling200"	"i_vs_rest"
"6385"	"Nedd9"	"tiling200"	"i_vs_rest"
"6386"	"Adtrp"	"tiling200"	"i_vs_rest"
"6387"	"Gm10790"	"tiling200"	"i_vs_rest"
"6388"	"Hivep1"	"tiling200"	"i_vs_rest"
"6389"	"Phactr1"	"tiling200"	"i_vs_rest"
"6390"	"Tbc1d7"	"tiling200"	"i_vs_rest"
"6391"	"Gfod1"	"tiling200"	"i_vs_rest"
"6392"	"Sirt5"	"tiling200"	"i_vs_rest"
"6393"	"Mcur1"	"tiling200"	"i_vs_rest"
"6394"	"Rnf182"	"tiling200"	"i_vs_rest"
"6395"	"Cd83"	"tiling200"	"i_vs_rest"
"6396"	"Gm5083"	"tiling200"	"i_vs_rest"
"6397"	"A330076C08Rik"	"tiling200"	"i_vs_rest"
"6398"	"1700029N11Rik"	"tiling200"	"i_vs_rest"
"6399"	"Jarid2"	"tiling200"	"i_vs_rest"
"6400"	"Mylip"	"tiling200"	"i_vs_rest"
"6401"	"Atxn1"	"tiling200"	"i_vs_rest"
"6402"	"Stmnd1"	"tiling200"	"i_vs_rest"
"6403"	"Rbm24"	"tiling200"	"i_vs_rest"
"6404"	"Kif13a"	"tiling200"	"i_vs_rest"
"6405"	"Rnf144b"	"tiling200"	"i_vs_rest"
"6406"	"G630093K05Rik"	"tiling200"	"i_vs_rest"
"6407"	"4931429P17Rik"	"tiling200"	"i_vs_rest"
"6408"	"A330033J07Rik"	"tiling200"	"i_vs_rest"
"6409"	"Phf2"	"tiling200"	"i_vs_rest"
"6410"	"Wnk2"	"tiling200"	"i_vs_rest"
"6411"	"Fgd3"	"tiling200"	"i_vs_rest"
"6412"	"Cenpp"	"tiling200"	"i_vs_rest"
"6413"	"Iars"	"tiling200"	"i_vs_rest"
"6414"	"9430083A17Rik"	"tiling200"	"i_vs_rest"
"6415"	"Nxnl2"	"tiling200"	"i_vs_rest"
"6416"	"S1pr3"	"tiling200"	"i_vs_rest"
"6417"	"Shc3"	"tiling200"	"i_vs_rest"
"6418"	"Sema4d"	"tiling200"	"i_vs_rest"
"6419"	"Gadd45g"	"tiling200"	"i_vs_rest"
"6420"	"4921525O09Rik"	"tiling200"	"i_vs_rest"
"6421"	"Diras2"	"tiling200"	"i_vs_rest"
"6422"	"Auh"	"tiling200"	"i_vs_rest"
"6423"	"Nfil3"	"tiling200"	"i_vs_rest"
"6424"	"Ror2"	"tiling200"	"i_vs_rest"
"6425"	"Sptlc1"	"tiling200"	"i_vs_rest"
"6426"	"Gm2762"	"tiling200"	"i_vs_rest"
"6427"	"Drd1"	"tiling200"	"i_vs_rest"
"6428"	"Thoc3"	"tiling200"	"i_vs_rest"
"6429"	"Rnf44"	"tiling200"	"i_vs_rest"
"6430"	"Unc5a"	"tiling200"	"i_vs_rest"
"6431"	"Fgfr4"	"tiling200"	"i_vs_rest"
"6432"	"Slc34a1"	"tiling200"	"i_vs_rest"
"6433"	"F12"	"tiling200"	"i_vs_rest"
"6434"	"Grk6"	"tiling200"	"i_vs_rest"
"6435"	"Dbn1"	"tiling200"	"i_vs_rest"
"6436"	"Pdlim7"	"tiling200"	"i_vs_rest"
"6437"	"Fam193b"	"tiling200"	"i_vs_rest"
"6438"	"Pitx1"	"tiling200"	"i_vs_rest"
"6439"	"H2afy"	"tiling200"	"i_vs_rest"
"6440"	"Tifab"	"tiling200"	"i_vs_rest"
"6441"	"Gm10782"	"tiling200"	"i_vs_rest"
"6442"	"Lect2"	"tiling200"	"i_vs_rest"
"6443"	"Tgfbi"	"tiling200"	"i_vs_rest"
"6444"	"Trpc7"	"tiling200"	"i_vs_rest"
"6445"	"Spock1"	"tiling200"	"i_vs_rest"
"6446"	"Slc28a3"	"tiling200"	"i_vs_rest"
"6447"	"Ntrk2"	"tiling200"	"i_vs_rest"
"6448"	"Spata31d1d"	"tiling200"	"i_vs_rest"
"6449"	"Isca1"	"tiling200"	"i_vs_rest"
"6450"	"Tut7"	"tiling200"	"i_vs_rest"
"6451"	"A530065N20Rik"	"tiling200"	"i_vs_rest"
"6452"	"Dapk1"	"tiling200"	"i_vs_rest"
"6453"	"Ctsll3"	"tiling200"	"i_vs_rest"
"6454"	"Ctsj"	"tiling200"	"i_vs_rest"
"6455"	"Cts7"	"tiling200"	"i_vs_rest"
"6456"	"Zfp808"	"tiling200"	"i_vs_rest"
"6457"	"Gm3604"	"tiling200"	"i_vs_rest"
"6458"	"Mir713"	"tiling200"	"i_vs_rest"
"6459"	"Fbp1"	"tiling200"	"i_vs_rest"
"6460"	"2010111I01Rik"	"tiling200"	"i_vs_rest"
"6461"	"Fancc"	"tiling200"	"i_vs_rest"
"6462"	"1700024I08Rik"	"tiling200"	"i_vs_rest"
"6463"	"Ercc6l2"	"tiling200"	"i_vs_rest"
"6464"	"Hsd17b3"	"tiling200"	"i_vs_rest"
"6465"	"Cntnap3"	"tiling200"	"i_vs_rest"
"6466"	"Mfsd14b"	"tiling200"	"i_vs_rest"
"6467"	"Nlrp4f"	"tiling200"	"i_vs_rest"
"6468"	"Zfp369"	"tiling200"	"i_vs_rest"
"6469"	"2410141K09Rik"	"tiling200"	"i_vs_rest"
"6470"	"4933433G19Rik"	"tiling200"	"i_vs_rest"
"6471"	"Zfp458"	"tiling200"	"i_vs_rest"
"6472"	"Gm8016"	"tiling200"	"i_vs_rest"
"6473"	"Mtrr"	"tiling200"	"i_vs_rest"
"6474"	"1700001L19Rik"	"tiling200"	"i_vs_rest"
"6475"	"Adcy2"	"tiling200"	"i_vs_rest"
"6476"	"Med10"	"tiling200"	"i_vs_rest"
"6477"	"4933416O17Rik"	"tiling200"	"i_vs_rest"
"6478"	"4930520P13Rik"	"tiling200"	"i_vs_rest"
"6479"	"Adamts16"	"tiling200"	"i_vs_rest"
"6480"	"Mir466f-4"	"tiling200"	"i_vs_rest"
"6481"	"Irx1"	"tiling200"	"i_vs_rest"
"6482"	"Gm20554"	"tiling200"	"i_vs_rest"
"6483"	"Irx2"	"tiling200"	"i_vs_rest"
"6484"	"D730050B12Rik"	"tiling200"	"i_vs_rest"
"6485"	"Lpcat1"	"tiling200"	"i_vs_rest"
"6486"	"Slc6a3"	"tiling200"	"i_vs_rest"
"6487"	"Ahrr"	"tiling200"	"i_vs_rest"
"6488"	"Ccdc127"	"tiling200"	"i_vs_rest"
"6489"	"Erap1"	"tiling200"	"i_vs_rest"
"6490"	"Cast"	"tiling200"	"i_vs_rest"
"6491"	"Mir682"	"tiling200"	"i_vs_rest"
"6492"	"Mctp1"	"tiling200"	"i_vs_rest"
"6493"	"2210408I21Rik"	"tiling200"	"i_vs_rest"
"6494"	"Fam172a"	"tiling200"	"i_vs_rest"
"6495"	"A830082K12Rik"	"tiling200"	"i_vs_rest"
"6496"	"Arrdc3"	"tiling200"	"i_vs_rest"
"6497"	"9330111N05Rik"	"tiling200"	"i_vs_rest"
"6498"	"Mblac2"	"tiling200"	"i_vs_rest"
"6499"	"Cetn3"	"tiling200"	"i_vs_rest"
"6500"	"2810049E08Rik"	"tiling200"	"i_vs_rest"
"6501"	"Gm17750"	"tiling200"	"i_vs_rest"
"6502"	"Rasa1"	"tiling200"	"i_vs_rest"
"6503"	"Cox7c"	"tiling200"	"i_vs_rest"
"6504"	"Edil3"	"tiling200"	"i_vs_rest"
"6505"	"Hapln1"	"tiling200"	"i_vs_rest"
"6506"	"Vcan"	"tiling200"	"i_vs_rest"
"6507"	"Tmem167"	"tiling200"	"i_vs_rest"
"6508"	"Atp6ap1l"	"tiling200"	"i_vs_rest"
"6509"	"Rps23"	"tiling200"	"i_vs_rest"
"6510"	"Atg10"	"tiling200"	"i_vs_rest"
"6511"	"A830009L08Rik"	"tiling200"	"i_vs_rest"
"6512"	"Ssbp2"	"tiling200"	"i_vs_rest"
"6513"	"Rasgrf2"	"tiling200"	"i_vs_rest"
"6514"	"Msh3"	"tiling200"	"i_vs_rest"
"6515"	"Dhfr"	"tiling200"	"i_vs_rest"
"6516"	"Ankrd34b"	"tiling200"	"i_vs_rest"
"6517"	"Spz1"	"tiling200"	"i_vs_rest"
"6518"	"Thbs4"	"tiling200"	"i_vs_rest"
"6519"	"Cmya5"	"tiling200"	"i_vs_rest"
"6520"	"Bhmt2"	"tiling200"	"i_vs_rest"
"6521"	"Arsb"	"tiling200"	"i_vs_rest"
"6522"	"Lhfpl2"	"tiling200"	"i_vs_rest"
"6523"	"Scamp1"	"tiling200"	"i_vs_rest"
"6524"	"Gm9776"	"tiling200"	"i_vs_rest"
"6525"	"Ap3b1"	"tiling200"	"i_vs_rest"
"6526"	"Tbca"	"tiling200"	"i_vs_rest"
"6527"	"Otp"	"tiling200"	"i_vs_rest"
"6528"	"Pde8b"	"tiling200"	"i_vs_rest"
"6529"	"Aggf1"	"tiling200"	"i_vs_rest"
"6530"	"S100z"	"tiling200"	"i_vs_rest"
"6531"	"Iqgap2"	"tiling200"	"i_vs_rest"
"6532"	"Gcnt4"	"tiling200"	"i_vs_rest"
"6533"	"Hexb"	"tiling200"	"i_vs_rest"
"6534"	"Enc1"	"tiling200"	"i_vs_rest"
"6535"	"Lncenc1"	"tiling200"	"i_vs_rest"
"6536"	"Gm5086"	"tiling200"	"i_vs_rest"
"6537"	"5330416C01Rik"	"tiling200"	"i_vs_rest"
"6538"	"Arhgef28"	"tiling200"	"i_vs_rest"
"6539"	"2310020H05Rik"	"tiling200"	"i_vs_rest"
"6540"	"Zfp366"	"tiling200"	"i_vs_rest"
"6541"	"Ptcd2"	"tiling200"	"i_vs_rest"
"6542"	"Naip5"	"tiling200"	"i_vs_rest"
"6543"	"Naip7"	"tiling200"	"i_vs_rest"
"6544"	"Marveld2"	"tiling200"	"i_vs_rest"
"6545"	"Cdk7"	"tiling200"	"i_vs_rest"
"6546"	"Cenph"	"tiling200"	"i_vs_rest"
"6547"	"Slc30a5"	"tiling200"	"i_vs_rest"
"6548"	"5930438M14Rik"	"tiling200"	"i_vs_rest"
"6549"	"Pik3r1"	"tiling200"	"i_vs_rest"
"6550"	"Cd180"	"tiling200"	"i_vs_rest"
"6551"	"Mast4"	"tiling200"	"i_vs_rest"
"6552"	"Gm30551"	"tiling200"	"i_vs_rest"
"6553"	"Nln"	"tiling200"	"i_vs_rest"
"6554"	"Sgtb"	"tiling200"	"i_vs_rest"
"6555"	"Adamts6"	"tiling200"	"i_vs_rest"
"6556"	"Cwc27"	"tiling200"	"i_vs_rest"
"6557"	"Rgs7bp"	"tiling200"	"i_vs_rest"
"6558"	"Ipo11"	"tiling200"	"i_vs_rest"
"6559"	"3830408C21Rik"	"tiling200"	"i_vs_rest"
"6560"	"1700006H21Rik"	"tiling200"	"i_vs_rest"
"6561"	"Zswim6"	"tiling200"	"i_vs_rest"
"6562"	"Smim15"	"tiling200"	"i_vs_rest"
"6563"	"Elovl7"	"tiling200"	"i_vs_rest"
"6564"	"Depdc1b"	"tiling200"	"i_vs_rest"
"6565"	"Pde4d"	"tiling200"	"i_vs_rest"
"6566"	"Rab3c"	"tiling200"	"i_vs_rest"
"6567"	"Plk2"	"tiling200"	"i_vs_rest"
"6568"	"Gm38397"	"tiling200"	"i_vs_rest"
"6569"	"3110015C05Rik"	"tiling200"	"i_vs_rest"
"6570"	"Gm15326"	"tiling200"	"i_vs_rest"
"6571"	"Il31ra"	"tiling200"	"i_vs_rest"
"6572"	"Slc38a9"	"tiling200"	"i_vs_rest"
"6573"	"Dhx29"	"tiling200"	"i_vs_rest"
"6574"	"Cdc20b"	"tiling200"	"i_vs_rest"
"6575"	"4921509O07Rik"	"tiling200"	"i_vs_rest"
"6576"	"Snx18"	"tiling200"	"i_vs_rest"
"6577"	"Ndufs4"	"tiling200"	"i_vs_rest"
"6578"	"Isl1"	"tiling200"	"i_vs_rest"
"6579"	"Gm6416"	"tiling200"	"i_vs_rest"
"6580"	"Emb"	"tiling200"	"i_vs_rest"
"6581"	"Hcn1"	"tiling200"	"i_vs_rest"
"6582"	"Mrps30"	"tiling200"	"i_vs_rest"
"6583"	"Fgf10"	"tiling200"	"i_vs_rest"
"6584"	"Nnt"	"tiling200"	"i_vs_rest"
"6585"	"Tcstv1"	"tiling200"	"i_vs_rest"
"6586"	"Gm21761"	"tiling200"	"i_vs_rest"
"6587"	"Gm2897"	"tiling200"	"i_vs_rest"
"6588"	"LOC100861615"	"tiling200"	"i_vs_rest"
"6589"	"4930521O11Rik"	"tiling200"	"i_vs_rest"
"6590"	"4933406F09Rik"	"tiling200"	"i_vs_rest"
"6591"	"Flnb"	"tiling200"	"i_vs_rest"
"6592"	"Kctd6"	"tiling200"	"i_vs_rest"
"6593"	"Fhit"	"tiling200"	"i_vs_rest"
"6594"	"Ptprg"	"tiling200"	"i_vs_rest"
"6595"	"Fezf2"	"tiling200"	"i_vs_rest"
"6596"	"Gm5087"	"tiling200"	"i_vs_rest"
"6597"	"Sntn"	"tiling200"	"i_vs_rest"
"6598"	"Thoc7"	"tiling200"	"i_vs_rest"
"6599"	"Atxn7"	"tiling200"	"i_vs_rest"
"6600"	"B230110C06Rik"	"tiling200"	"i_vs_rest"
"6601"	"Oxsm"	"tiling200"	"i_vs_rest"
"6602"	"Thrb"	"tiling200"	"i_vs_rest"
"6603"	"Ube2e1"	"tiling200"	"i_vs_rest"
"6604"	"Ube2e2"	"tiling200"	"i_vs_rest"
"6605"	"Gm5458"	"tiling200"	"i_vs_rest"
"6606"	"Nid2"	"tiling200"	"i_vs_rest"
"6607"	"Gng2"	"tiling200"	"i_vs_rest"
"6608"	"Saysd1"	"tiling200"	"i_vs_rest"
"6609"	"Kcnk5"	"tiling200"	"i_vs_rest"
"6610"	"Camk2g"	"tiling200"	"i_vs_rest"
"6611"	"Plau"	"tiling200"	"i_vs_rest"
"6612"	"Adk"	"tiling200"	"i_vs_rest"
"6613"	"Dupd1"	"tiling200"	"i_vs_rest"
"6614"	"Zfp503"	"tiling200"	"i_vs_rest"
"6615"	"Lrmda"	"tiling200"	"i_vs_rest"
"6616"	"Kcnma1"	"tiling200"	"i_vs_rest"
"6617"	"Dlg5"	"tiling200"	"i_vs_rest"
"6618"	"Polr3a"	"tiling200"	"i_vs_rest"
"6619"	"Rps24"	"tiling200"	"i_vs_rest"
"6620"	"4930572O13Rik"	"tiling200"	"i_vs_rest"
"6621"	"Zmiz1"	"tiling200"	"i_vs_rest"
"6622"	"Ppif"	"tiling200"	"i_vs_rest"
"6623"	"Anxa11"	"tiling200"	"i_vs_rest"
"6624"	"Pde12"	"tiling200"	"i_vs_rest"
"6625"	"Asb14"	"tiling200"	"i_vs_rest"
"6626"	"Arhgef3"	"tiling200"	"i_vs_rest"
"6627"	"Erc2"	"tiling200"	"i_vs_rest"
"6628"	"Cacna2d3"	"tiling200"	"i_vs_rest"
"6629"	"Selenok"	"tiling200"	"i_vs_rest"
"6630"	"Cacna1d"	"tiling200"	"i_vs_rest"
"6631"	"Tkt"	"tiling200"	"i_vs_rest"
"6632"	"Tmem110"	"tiling200"	"i_vs_rest"
"6633"	"Mustn1"	"tiling200"	"i_vs_rest"
"6634"	"Itih3"	"tiling200"	"i_vs_rest"
"6635"	"Sema3g"	"tiling200"	"i_vs_rest"
"6636"	"Sh3bp5"	"tiling200"	"i_vs_rest"
"6637"	"Colq"	"tiling200"	"i_vs_rest"
"6638"	"Btd"	"tiling200"	"i_vs_rest"
"6639"	"Ankrd28"	"tiling200"	"i_vs_rest"
"6640"	"Oxnad1"	"tiling200"	"i_vs_rest"
"6641"	"Chat"	"tiling200"	"i_vs_rest"
"6642"	"Ercc6"	"tiling200"	"i_vs_rest"
"6643"	"Wdfy4"	"tiling200"	"i_vs_rest"
"6644"	"Arhgap22"	"tiling200"	"i_vs_rest"
"6645"	"Mapk8"	"tiling200"	"i_vs_rest"
"6646"	"4930503F20Rik"	"tiling200"	"i_vs_rest"
"6647"	"Gdf10"	"tiling200"	"i_vs_rest"
"6648"	"Zfp488"	"tiling200"	"i_vs_rest"
"6649"	"A630023A22Rik"	"tiling200"	"i_vs_rest"
"6650"	"Syt15"	"tiling200"	"i_vs_rest"
"6651"	"Shld2"	"tiling200"	"i_vs_rest"
"6652"	"Mmrn2"	"tiling200"	"i_vs_rest"
"6653"	"Grid1"	"tiling200"	"i_vs_rest"
"6654"	"4930596D02Rik"	"tiling200"	"i_vs_rest"
"6655"	"4930474N05Rik"	"tiling200"	"i_vs_rest"
"6656"	"2610528A11Rik"	"tiling200"	"i_vs_rest"
"6657"	"Ghitm"	"tiling200"	"i_vs_rest"
"6658"	"Nrg3"	"tiling200"	"i_vs_rest"
"6659"	"1700109I08Rik"	"tiling200"	"i_vs_rest"
"6660"	"Fam213a"	"tiling200"	"i_vs_rest"
"6661"	"Sftpd"	"tiling200"	"i_vs_rest"
"6662"	"1700091H14Rik"	"tiling200"	"i_vs_rest"
"6663"	"Gm17026"	"tiling200"	"i_vs_rest"
"6664"	"Gm10377"	"tiling200"	"i_vs_rest"
"6665"	"1700001F09Rik"	"tiling200"	"i_vs_rest"
"6666"	"Gm10375"	"tiling200"	"i_vs_rest"
"6667"	"BC061237"	"tiling200"	"i_vs_rest"
"6668"	"Gm8267"	"tiling200"	"i_vs_rest"
"6669"	"Fermt2"	"tiling200"	"i_vs_rest"
"6670"	"4930527F14Rik"	"tiling200"	"i_vs_rest"
"6671"	"Ddhd1"	"tiling200"	"i_vs_rest"
"6672"	"Gm15217"	"tiling200"	"i_vs_rest"
"6673"	"Samd4"	"tiling200"	"i_vs_rest"
"6674"	"Gch1"	"tiling200"	"i_vs_rest"
"6675"	"Mapk1ip1l"	"tiling200"	"i_vs_rest"
"6676"	"Dlgap5"	"tiling200"	"i_vs_rest"
