"value"	"Analysis_type"	"Comparison"
"342"	"Slc13a3"	"tiling"	"i_vs_rest"
"343"	"Stau1"	"tiling"	"i_vs_rest"
"344"	"Atp9a"	"tiling"	"i_vs_rest"
"345"	"Tshz2"	"tiling"	"i_vs_rest"
"346"	"Dok5"	"tiling"	"i_vs_rest"
"347"	"1700028P15Rik"	"tiling"	"i_vs_rest"
"348"	"Mc3r"	"tiling"	"i_vs_rest"
"349"	"Rtf2"	"tiling"	"i_vs_rest"
"350"	"Zfp831"	"tiling"	"i_vs_rest"
"351"	"Cdh26"	"tiling"	"i_vs_rest"
"352"	"Cdh4"	"tiling"	"i_vs_rest"
"353"	"Pcmtd2"	"tiling"	"i_vs_rest"
"354"	"1110015O18Rik"	"tiling"	"i_vs_rest"
"355"	"Stmn2"	"tiling"	"i_vs_rest"
"356"	"Gm10745"	"tiling"	"i_vs_rest"
"357"	"Gm5150"	"tiling"	"i_vs_rest"
"358"	"Mtfr1"	"tiling"	"i_vs_rest"
"359"	"Hltf"	"tiling"	"i_vs_rest"
"360"	"Naaladl2"	"tiling"	"i_vs_rest"
"361"	"Nlgn1"	"tiling"	"i_vs_rest"
"362"	"Mannr"	"tiling"	"i_vs_rest"
"363"	"Actrt3"	"tiling"	"i_vs_rest"
"364"	"Lrriq4"	"tiling"	"i_vs_rest"
"365"	"Cldn11"	"tiling"	"i_vs_rest"
"366"	"Usp13"	"tiling"	"i_vs_rest"
"367"	"Ccdc39"	"tiling"	"i_vs_rest"
"368"	"Mir6378"	"tiling"	"i_vs_rest"
"369"	"Qrfpr"	"tiling"	"i_vs_rest"
"370"	"Anxa5"	"tiling"	"i_vs_rest"
"371"	"Gm5148"	"tiling"	"i_vs_rest"
"372"	"Gm20755"	"tiling"	"i_vs_rest"
"373"	"1700017G19Rik"	"tiling"	"i_vs_rest"
"374"	"Platr4"	"tiling"	"i_vs_rest"
"375"	"2610316D01Rik"	"tiling"	"i_vs_rest"
"376"	"Mir6379"	"tiling"	"i_vs_rest"
"377"	"Gm7977"	"tiling"	"i_vs_rest"
"378"	"1700018B24Rik"	"tiling"	"i_vs_rest"
"379"	"Maml3"	"tiling"	"i_vs_rest"
"380"	"Gm2447"	"tiling"	"i_vs_rest"
"381"	"Rfxap"	"tiling"	"i_vs_rest"
"382"	"Dclk1"	"tiling"	"i_vs_rest"
"383"	"Nbea"	"tiling"	"i_vs_rest"
"384"	"Mbnl1"	"tiling"	"i_vs_rest"
"385"	"Mme"	"tiling"	"i_vs_rest"
"386"	"Plch1"	"tiling"	"i_vs_rest"
"387"	"Gmps"	"tiling"	"i_vs_rest"
"388"	"Vmn2r3"	"tiling"	"i_vs_rest"
"389"	"4931440P22Rik"	"tiling"	"i_vs_rest"
"390"	"Veph1"	"tiling"	"i_vs_rest"
"391"	"Shox2"	"tiling"	"i_vs_rest"
"392"	"Mlf1"	"tiling"	"i_vs_rest"
"393"	"Ppm1l"	"tiling"	"i_vs_rest"
"394"	"Otol1"	"tiling"	"i_vs_rest"
"395"	"Gm20754"	"tiling"	"i_vs_rest"
"396"	"Pdcd10"	"tiling"	"i_vs_rest"
"397"	"Golim4"	"tiling"	"i_vs_rest"
"398"	"Fstl5"	"tiling"	"i_vs_rest"
"399"	"Rapgef2"	"tiling"	"i_vs_rest"
"400"	"Fnip2"	"tiling"	"i_vs_rest"
"401"	"Etfdh"	"tiling"	"i_vs_rest"
"402"	"Npy2r"	"tiling"	"i_vs_rest"
"403"	"Fhdc1"	"tiling"	"i_vs_rest"
"404"	"Arfip1"	"tiling"	"i_vs_rest"
"405"	"Fcrl1"	"tiling"	"i_vs_rest"
"406"	"Isg20l2"	"tiling"	"i_vs_rest"
"407"	"Pmvk"	"tiling"	"i_vs_rest"
"408"	"Kcnn3"	"tiling"	"i_vs_rest"
"409"	"Il6ra"	"tiling"	"i_vs_rest"
"410"	"9130204L05Rik"	"tiling"	"i_vs_rest"
"411"	"Ivl"	"tiling"	"i_vs_rest"
"412"	"Tdpoz1"	"tiling"	"i_vs_rest"
"413"	"4930406D18Rik"	"tiling"	"i_vs_rest"
"414"	"Vtcn1"	"tiling"	"i_vs_rest"
"415"	"Nr1h5"	"tiling"	"i_vs_rest"
"416"	"Olfml3"	"tiling"	"i_vs_rest"
"417"	"Chia1"	"tiling"	"i_vs_rest"
"418"	"Fam102b"	"tiling"	"i_vs_rest"
"419"	"Prmt6"	"tiling"	"i_vs_rest"
"420"	"Gm6602"	"tiling"	"i_vs_rest"
"421"	"Col11a1"	"tiling"	"i_vs_rest"
"422"	"Olfm3"	"tiling"	"i_vs_rest"
"423"	"Slc30a7"	"tiling"	"i_vs_rest"
"424"	"Cdc14a"	"tiling"	"i_vs_rest"
"425"	"Lrrc39"	"tiling"	"i_vs_rest"
"426"	"Sass6"	"tiling"	"i_vs_rest"
"427"	"Slc35a3"	"tiling"	"i_vs_rest"
"428"	"Agl"	"tiling"	"i_vs_rest"
"429"	"Plppr4"	"tiling"	"i_vs_rest"
"430"	"6530403H02Rik"	"tiling"	"i_vs_rest"
"431"	"Ndst3"	"tiling"	"i_vs_rest"
"432"	"Ndst4"	"tiling"	"i_vs_rest"
"433"	"Larp7"	"tiling"	"i_vs_rest"
"434"	"Pitx2"	"tiling"	"i_vs_rest"
"435"	"Elovl6"	"tiling"	"i_vs_rest"
"436"	"Gm5105"	"tiling"	"i_vs_rest"
"437"	"Adh5"	"tiling"	"i_vs_rest"
"438"	"Tspan5"	"tiling"	"i_vs_rest"
"439"	"Rap1gds1"	"tiling"	"i_vs_rest"
"440"	"Pdha2"	"tiling"	"i_vs_rest"
"441"	"A830019L24Rik"	"tiling"	"i_vs_rest"
"442"	"Clca4b"	"tiling"	"i_vs_rest"
"443"	"Syde2"	"tiling"	"i_vs_rest"
"444"	"Adgrl2"	"tiling"	"i_vs_rest"
"445"	"Ak5"	"tiling"	"i_vs_rest"
"446"	"Negr1"	"tiling"	"i_vs_rest"
"447"	"Lrrc7"	"tiling"	"i_vs_rest"
"448"	"4930448K20Rik"	"tiling"	"i_vs_rest"
"449"	"1700123O12Rik"	"tiling"	"i_vs_rest"
"450"	"Esrp1"	"tiling"	"i_vs_rest"
"451"	"Tmem67"	"tiling"	"i_vs_rest"
"452"	"Runx1t1"	"tiling"	"i_vs_rest"
"453"	"Lrrc69"	"tiling"	"i_vs_rest"
"454"	"Tmem64"	"tiling"	"i_vs_rest"
"455"	"Mmp16"	"tiling"	"i_vs_rest"
"456"	"Nkain3"	"tiling"	"i_vs_rest"
"457"	"Fbxl4"	"tiling"	"i_vs_rest"
"458"	"Epha7"	"tiling"	"i_vs_rest"
"459"	"4930556G01Rik"	"tiling"	"i_vs_rest"
"460"	"Map3k7"	"tiling"	"i_vs_rest"
"461"	"1700009N14Rik"	"tiling"	"i_vs_rest"
"462"	"Rusc2"	"tiling"	"i_vs_rest"
"463"	"Anks6"	"tiling"	"i_vs_rest"
"464"	"Sec61b"	"tiling"	"i_vs_rest"
"465"	"Nr4a3"	"tiling"	"i_vs_rest"
"466"	"Grin3a"	"tiling"	"i_vs_rest"
"467"	"Abca1"	"tiling"	"i_vs_rest"
"468"	"Zfp462"	"tiling"	"i_vs_rest"
"469"	"Actl7b"	"tiling"	"i_vs_rest"
"470"	"Pakap"	"tiling"	"i_vs_rest"
"471"	"Snx30"	"tiling"	"i_vs_rest"
"472"	"Mup18"	"tiling"	"i_vs_rest"
"473"	"Fkbp15"	"tiling"	"i_vs_rest"
"474"	"Cdk5rap2"	"tiling"	"i_vs_rest"
"475"	"Tle1"	"tiling"	"i_vs_rest"
"476"	"Gm11487"	"tiling"	"i_vs_rest"
"477"	"Gm11240"	"tiling"	"i_vs_rest"
"478"	"Frmd3"	"tiling"	"i_vs_rest"
"479"	"Kdm4c"	"tiling"	"i_vs_rest"
"480"	"Ptprd"	"tiling"	"i_vs_rest"
"481"	"Mpdz"	"tiling"	"i_vs_rest"
"482"	"Zdhhc21"	"tiling"	"i_vs_rest"
"483"	"Ccdc171"	"tiling"	"i_vs_rest"
"484"	"Cntln"	"tiling"	"i_vs_rest"
"485"	"Sh3gl2"	"tiling"	"i_vs_rest"
"486"	"Adamtsl1"	"tiling"	"i_vs_rest"
"487"	"Acer2"	"tiling"	"i_vs_rest"
"488"	"Slc24a2"	"tiling"	"i_vs_rest"
"489"	"Mllt3"	"tiling"	"i_vs_rest"
"490"	"Ifna14"	"tiling"	"i_vs_rest"
"491"	"Dmrta1"	"tiling"	"i_vs_rest"
"492"	"Gm12633"	"tiling"	"i_vs_rest"
"493"	"Izumo3"	"tiling"	"i_vs_rest"
